time of insert, time of get, number of rehashed, number of keys
363,46,11,10000
3451,460,14,100000
30402,4799,17,1000000
417898,48870,21,10000000
3481458,492441,24,100000000
5,0,4,100
25,4,7,1000
441,46,11,10000
3685,605,14,100000
31038,4898,17,1000000
408680,48661,21,10000000
3486199,494346,24,100000000
4,0,4,100
25,6,7,1000
446,46,11,10000
3473,460,14,100000
31381,5425,17,1000000
412883,48123,21,10000000
3490523,490883,24,100000000
6,0,4,100
26,5,7,1000
458,48,11,10000
3439,462,14,100000
31002,4959,17,1000000
412757,49026,21,10000000
3536794,493279,24,100000000
5,0,4,100
25,4,7,1000
444,46,11,10000
3339,560,14,100000
31398,4825,17,1000000
415737,48444,21,10000000
3493706,498028,24,100000000
5,0,4,100
26,5,7,1000
412,49,11,10000
3916,575,14,100000
30896,4730,17,1000000
413893,49312,21,10000000
3491072,491316,24,100000000
6,0,4,100
26,5,7,1000
393,48,11,10000
3526,462,14,100000
30516,4739,17,1000000
428520,51577,21,10000000
3482130,497689,24,100000000
5,0,4,100
26,4,7,1000
538,46,11,10000
3408,575,14,100000
30755,4885,17,1000000
414032,49869,21,10000000
3539632,493058,24,100000000
5,0,4,100
27,6,7,1000
370,46,11,10000
3403,466,14,100000
30816,4732,17,1000000
424198,49669,21,10000000
3596426,495710,24,100000000
4,0,4,100
26,4,7,1000
400,46,11,10000
3457,467,14,100000
30759,4778,17,1000000
413277,48512,21,10000000
3604529,495607,24,100000000
4,0,4,100
25,4,7,1000
375,59,11,10000
3575,465,14,100000
31618,4929,17,1000000
414155,48622,21,10000000
3527872,493559,24,100000000
5,0,4,100
26,4,7,1000
364,46,11,10000
3529,466,14,100000
31005,4967,17,1000000
426118,49434,21,10000000
3628523,496843,24,100000000
7,0,4,100
27,5,7,1000
394,59,11,10000
3497,464,14,100000
31680,4836,17,1000000
416059,50013,21,10000000
3651380,501006,24,100000000
6,0,4,100
27,5,7,1000
396,48,11,10000
3425,462,14,100000
31240,4773,17,1000000
409230,48668,21,10000000
3576269,510123,24,100000000
5,0,4,100
26,5,7,1000
376,47,11,10000
3474,576,14,100000
30916,4961,17,1000000
423220,49283,21,10000000
3485573,502538,24,100000000
4,1,4,100
27,5,7,1000
393,48,11,10000
3407,598,14,100000
30707,4905,17,1000000
417401,49286,21,10000000
3538390,490709,24,100000000
9,0,4,100
33,5,7,1000
380,48,11,10000
3526,462,14,100000
30598,4853,17,1000000
408354,48895,21,10000000
3481918,498310,24,100000000
5,0,4,100
49,5,7,1000
451,46,11,10000
3489,473,14,100000
30755,4857,17,1000000
414207,49136,21,10000000
3552783,490573,24,100000000
6,0,4,100
25,4,7,1000
363,46,11,10000
3511,587,14,100000
30821,4988,17,1000000
408590,49050,21,10000000
3480433,497828,24,100000000
7,0,4,100
27,5,7,1000
378,48,11,10000
3692,608,14,100000
31679,4994,17,1000000
416173,49096,21,10000000
3507986,492422,24,100000000
5,0,4,100
33,5,7,1000
371,48,11,10000
3536,575,14,100000
31208,4723,17,1000000
406912,48854,21,10000000
3527024,489149,24,100000000
6,0,4,100
27,5,7,1000
380,49,11,10000
3605,484,14,100000
30474,4988,17,1000000
408902,49063,21,10000000
3493302,497382,24,100000000
12,0,4,100
27,5,7,1000
390,46,11,10000
3640,635,14,100000
31315,4887,17,1000000
416264,48668,21,10000000
3533356,493269,24,100000000
4,0,4,100
25,4,7,1000
364,46,11,10000
3852,462,14,100000
31117,4922,17,1000000
411526,48825,21,10000000
3490831,498819,24,100000000
5,0,4,100
25,4,7,1000
389,45,11,10000
4014,578,14,100000
31443,4830,17,1000000
409315,48997,21,10000000
3487975,497803,24,100000000
9,0,4,100
28,5,7,1000
428,48,11,10000
3616,541,14,100000
30511,4940,17,1000000
414957,49127,21,10000000
3533088,492248,24,100000000
5,0,4,100
35,5,7,1000
378,48,11,10000
3822,564,14,100000
31701,4889,17,1000000
409943,48679,21,10000000
3492699,497232,24,100000000
9,0,4,100
26,5,7,1000
412,49,11,10000
3917,551,14,100000
31238,4891,17,1000000
413200,49771,21,10000000
3493899,500157,24,100000000
5,0,4,100
28,5,7,1000
382,48,11,10000
3821,486,14,100000
30931,4900,17,1000000
404672,48006,21,10000000
3536629,491776,24,100000000
12,0,4,100
25,8,7,1000
368,46,11,10000
4144,480,14,100000
31481,4812,17,1000000
405461,48512,21,10000000
3711441,509102,24,100000000
8,2,4,100
35,5,7,1000
511,49,11,10000
3766,486,14,100000
32596,4910,17,1000000
437556,50501,21,10000000
3723047,511169,24,100000000
13,0,4,100
33,5,7,1000
411,49,11,10000
3744,613,14,100000
33131,5208,17,1000000
440433,50983,21,10000000
3702494,510903,24,100000000
8,1,4,100
41,6,7,1000
380,49,11,10000
3873,607,14,100000
32631,5137,17,1000000
429977,50932,21,10000000
3681407,514360,24,100000000
11,1,4,100
35,5,7,1000
385,49,11,10000
3804,596,14,100000
32859,4964,17,1000000
431828,50900,21,10000000
3658956,510173,24,100000000
11,1,4,100
44,5,7,1000
474,48,11,10000
3758,600,14,100000
33318,5192,17,1000000
431115,50926,21,10000000
3740730,506279,24,100000000
13,0,4,100
36,5,7,1000
381,48,11,10000
3770,608,14,100000
32618,4874,17,1000000
435808,51001,21,10000000
3681674,509796,24,100000000
9,2,4,100
32,6,7,1000
404,60,11,10000
3800,618,14,100000
33428,4927,17,1000000
434396,50987,21,10000000
3686959,510426,24,100000000
12,1,4,100
35,5,7,1000
414,49,11,10000
3775,608,14,100000
33429,5090,17,1000000
433469,52249,21,10000000
3699977,515740,24,100000000
6,0,4,100
46,6,7,1000
382,62,11,10000
3738,607,14,100000
33661,5102,17,1000000
451516,51797,21,10000000
3690770,510548,24,100000000
12,1,4,100
35,5,7,1000
404,62,11,10000
3865,614,14,100000
32838,5064,17,1000000
434302,51054,21,10000000
3697837,509982,24,100000000
13,1,4,100
35,7,7,1000
385,49,11,10000
3999,567,14,100000
33217,4960,17,1000000
433365,50691,21,10000000
3695411,510585,24,100000000
12,0,4,100
40,5,7,1000
396,49,11,10000
3820,629,14,100000
32848,5147,17,1000000
430955,51680,21,10000000
3689588,510249,24,100000000
10,1,4,100
40,5,7,1000
404,48,11,10000
3812,607,14,100000
33512,5110,17,1000000
437854,50983,21,10000000
3682844,510681,24,100000000
12,0,4,100
35,5,7,1000
466,49,11,10000
3678,541,14,100000
33342,5110,17,1000000
430566,51045,21,10000000
3693660,510213,24,100000000
11,0,4,100
41,5,7,1000
424,49,11,10000
3733,607,14,100000
32884,4953,17,1000000
431902,50099,21,10000000
3677277,510181,24,100000000
11,0,4,100
34,5,7,1000
388,49,11,10000
4004,496,14,100000
33241,5105,17,1000000
434034,51071,21,10000000
3732633,510611,24,100000000
8,0,4,100
34,7,7,1000
380,61,11,10000
3858,494,14,100000
33329,5086,17,1000000
434767,51101,21,10000000
3772027,519414,24,100000000
5,0,4,100
26,6,7,1000
377,48,11,10000
3820,629,14,100000
32758,5006,17,1000000
433374,51172,21,10000000
3830300,525844,24,100000000
11,0,4,100
35,6,7,1000
390,49,11,10000
4758,607,14,100000
33569,5116,17,1000000
438511,51398,21,10000000
3817265,544339,24,100000000
12,0,4,100
44,5,7,1000
390,60,11,10000
83853,595,14,100000
32992,5022,17,1000000
444812,51542,21,10000000
3737927,514567,24,100000000
5,0,4,100
26,5,7,1000
381,49,11,10000
3889,497,14,100000
33934,5239,17,1000000
444844,52295,21,10000000
3719448,515218,24,100000000
9,1,4,100
40,5,7,1000
405,85,11,10000
3930,492,14,100000
33064,5070,17,1000000
442111,51504,21,10000000
3724416,513099,24,100000000
13,1,4,100
26,5,7,1000
382,48,11,10000
3997,503,14,100000
33125,5097,17,1000000
435748,51106,21,10000000
3721242,515516,24,100000000
10,1,4,100
44,5,7,1000
389,61,11,10000
3882,493,14,100000
32864,5103,17,1000000
436074,50984,21,10000000
3745778,512525,24,100000000
9,0,4,100
32,7,7,1000
472,49,11,10000
3684,617,14,100000
32653,5118,17,1000000
436823,52181,21,10000000
3888452,526644,24,100000000
11,1,4,100
34,5,7,1000
378,48,11,10000
3712,611,14,100000
32837,5013,17,1000000
440094,51217,21,10000000
3702412,511678,24,100000000
13,1,4,100
35,5,7,1000
385,49,11,10000
4066,505,14,100000
33892,5027,17,1000000
436814,51174,21,10000000
3701748,516058,24,100000000
15,1,4,100
46,5,7,1000
391,50,11,10000
3916,494,14,100000
32763,5070,17,1000000
438435,51223,21,10000000
3695972,512297,24,100000000
11,0,4,100
32,7,7,1000
385,49,11,10000
3779,572,14,100000
32941,5128,17,1000000
434315,51070,21,10000000
3710217,515594,24,100000000
30,0,4,100
35,5,7,1000
386,48,11,10000
3916,491,14,100000
32822,4995,17,1000000
449275,51401,21,10000000
3713340,512463,24,100000000
11,0,4,100
34,6,7,1000
417,61,11,10000
3964,552,14,100000
33028,4889,17,1000000
435445,51083,21,10000000
3703219,511619,24,100000000
11,0,4,100
39,7,7,1000
400,61,11,10000
3814,607,14,100000
33390,4946,17,1000000
435772,51388,21,10000000
3843754,514540,24,100000000
8,1,4,100
32,5,7,1000
385,49,11,10000
3715,607,14,100000
32601,4980,17,1000000
436706,51072,21,10000000
3708215,511995,24,100000000
12,2,4,100
41,5,7,1000
380,48,11,10000
3855,497,14,100000
32808,4956,17,1000000
436822,51043,21,10000000
3705199,511427,24,100000000
9,1,4,100
44,5,7,1000
383,49,11,10000
3951,603,14,100000
33020,4965,17,1000000
436936,51332,21,10000000
3880081,514699,24,100000000
11,0,4,100
50,7,7,1000
409,49,11,10000
3906,607,14,100000
33847,5009,17,1000000
431481,51051,21,10000000
3715041,510728,24,100000000
14,1,4,100
45,7,7,1000
384,48,11,10000
3705,590,14,100000
32574,5131,17,1000000
438354,51127,21,10000000
3706466,510733,24,100000000
13,0,4,100
84,5,7,1000
395,48,11,10000
3976,736,14,100000
32226,5079,17,1000000
434574,51313,21,10000000
3703042,511265,24,100000000
10,1,4,100
33,5,7,1000
394,49,11,10000
3764,573,14,100000
33547,4985,17,1000000
434015,51048,21,10000000
3696876,512058,24,100000000
11,1,4,100
38,8,7,1000
480,48,11,10000
3925,487,14,100000
33362,5049,17,1000000
434484,51138,21,10000000
3717967,511057,24,100000000
8,2,4,100
35,6,7,1000
403,52,11,10000
3777,486,14,100000
32964,5109,17,1000000
433728,51059,21,10000000
3713995,511472,24,100000000
11,0,4,100
33,5,7,1000
410,49,11,10000
3836,491,14,100000
32984,5028,17,1000000
436033,51246,21,10000000
3704732,510811,24,100000000
8,0,4,100
33,6,7,1000
543,49,11,10000
3788,495,14,100000
33281,5048,17,1000000
435331,51168,21,10000000
3700993,511161,24,100000000
11,1,4,100
46,5,7,1000
466,48,11,10000
3708,607,14,100000
32463,5059,17,1000000
437207,50686,21,10000000
3707417,511199,24,100000000
10,1,4,100
33,6,7,1000
382,48,11,10000
3799,611,14,100000
32575,5100,17,1000000
436122,50938,21,10000000
3704799,511275,24,100000000
11,2,4,100
39,5,7,1000
393,61,11,10000
3997,610,14,100000
32969,5117,17,1000000
433036,51336,21,10000000
3724676,511491,24,100000000
13,0,4,100
38,5,7,1000
389,61,11,10000
3780,614,14,100000
32299,5088,17,1000000
436118,51003,21,10000000
3714302,512321,24,100000000
8,1,4,100
36,6,7,1000
384,60,11,10000
3743,607,14,100000
32884,5222,17,1000000
432725,51148,21,10000000
3712806,512637,24,100000000
11,0,4,100
34,5,7,1000
382,49,11,10000
3715,607,14,100000
33189,5022,17,1000000
439480,51125,21,10000000
3717796,512277,24,100000000
15,0,4,100
37,6,7,1000
383,49,11,10000
3661,607,14,100000
33784,5080,17,1000000
435319,51348,21,10000000
3697333,518914,24,100000000
5,0,4,100
26,5,7,1000
389,49,11,10000
3773,607,14,100000
41117,5077,17,1000000
432730,51108,21,10000000
3723967,510764,24,100000000
6,0,4,100
34,5,7,1000
415,49,11,10000
3711,605,14,100000
33064,5094,17,1000000
451353,51466,21,10000000
3699861,510958,24,100000000
5,0,4,100
26,5,7,1000
395,61,11,10000
3740,491,14,100000
33167,4944,17,1000000
444604,51112,21,10000000
3694710,512577,24,100000000
5,0,4,100
26,5,7,1000
392,61,11,10000
3866,499,14,100000
33683,5072,17,1000000
435791,51064,21,10000000
3721800,510967,24,100000000
5,0,4,100
26,5,7,1000
387,49,11,10000
3624,491,14,100000
33286,5168,17,1000000
437473,51103,21,10000000
3713188,511687,24,100000000
11,2,4,100
41,8,7,1000
383,48,11,10000
3850,615,14,100000
33220,5135,17,1000000
433405,51121,21,10000000
3707793,512472,24,100000000
10,0,4,100
35,7,7,1000
490,48,11,10000
3801,549,14,100000
32941,5195,17,1000000
438540,51231,21,10000000
3722277,511834,24,100000000
11,2,4,100
27,6,7,1000
381,49,11,10000
3723,487,14,100000
32609,4950,17,1000000
435772,51138,21,10000000
3713614,511676,24,100000000
7,0,4,100
27,5,7,1000
395,49,11,10000
5690,589,14,100000
32700,5096,17,1000000
436627,51541,21,10000000
3692898,510925,24,100000000
10,2,4,100
34,5,7,1000
413,48,11,10000
3734,604,14,100000
33416,4913,17,1000000
438950,51019,21,10000000
3712450,512244,24,100000000
11,2,4,100
27,5,7,1000
383,49,11,10000
3832,607,14,100000
33245,5090,17,1000000
438828,51133,21,10000000
3706642,510836,24,100000000
13,0,4,100
26,6,7,1000
384,60,11,10000
3731,607,14,100000
33475,4931,17,1000000
434599,51436,21,10000000
3707622,512391,24,100000000
10,2,4,100
27,6,7,1000
385,48,11,10000
3951,608,14,100000
32722,5131,17,1000000
436787,50101,21,10000000
3713703,511706,24,100000000
11,0,4,100
26,5,7,1000
378,60,11,10000
3858,560,14,100000
32913,5062,17,1000000
441881,51115,21,10000000
3699186,511621,24,100000000
5,0,4,100
26,5,7,1000
383,48,11,10000
3839,499,14,100000
33002,5057,17,1000000
446682,51246,21,10000000
3689620,512811,24,100000000
5,0,4,100
27,5,7,1000
386,49,11,10000
3873,491,14,100000
32540,5067,17,1000000
430020,51477,21,10000000
3699689,518681,24,100000000
5,0,4,100
27,5,7,1000
490,49,11,10000
3883,497,14,100000
33037,5105,17,1000000
446901,52104,21,10000000
3703612,511129,24,100000000
5,0,4,100
35,5,7,1000
408,49,11,10000
3754,495,14,100000
33458,5010,17,1000000
434026,50751,21,10000000
3710057,511534,24,100000000
5,0,4,100
26,6,7,1000
393,49,11,10000
3770,608,14,100000
32990,5077,17,1000000
433958,51194,21,10000000
3729144,512330,24,100000000
17,0,4,100
43,5,7,1000
405,49,11,10000
3907,610,14,100000
33483,4924,17,1000000
436967,50563,21,10000000
3696392,511192,24,100000000
11,1,4,100
36,6,7,1000
382,49,11,10000
3677,607,14,100000
32399,5127,17,1000000
463761,51416,21,10000000
3842379,514473,24,100000000
5,0,4,100
25,5,7,1000
380,48,11,10000
3774,563,14,100000
32785,5110,17,1000000
433398,51018,21,10000000
3718321,510955,24,100000000
5,0,4,100
35,5,7,1000
383,61,11,10000
3734,614,14,100000
33238,5102,17,1000000
434422,50869,21,10000000
3729942,511551,24,100000000
6,0,4,100
26,5,7,1000
396,61,11,10000
3788,565,14,100000
33219,5182,17,1000000
436038,51068,21,10000000
3711818,510787,24,100000000
5,1,4,100
26,5,7,1000
389,49,11,10000
3811,486,14,100000
33712,4926,17,1000000
433222,50493,21,10000000
3709257,511204,24,100000000
11,0,4,100
27,5,7,1000
432,49,11,10000
3794,494,14,100000
32955,5070,17,1000000
444011,51283,21,10000000
3705170,510826,24,100000000
5,0,4,100
27,5,7,1000
388,49,11,10000
3867,617,14,100000
36827,5144,17,1000000
445364,56275,21,10000000
3717496,510434,24,100000000
8,0,4,100
27,5,7,1000
382,49,11,10000
3821,607,14,100000
33019,5117,17,1000000
436644,51014,21,10000000
3730688,510917,24,100000000
11,1,4,100
35,7,7,1000
383,61,11,10000
3922,607,14,100000
32716,5101,17,1000000
453364,54579,21,10000000
3700259,512344,24,100000000
11,2,4,100
32,6,7,1000
406,61,11,10000
3847,657,14,100000
33198,5035,17,1000000
435265,50923,21,10000000
3720750,513494,24,100000000
11,1,4,100
27,6,7,1000
384,48,11,10000
3908,607,14,100000
33481,5014,17,1000000
433836,51132,21,10000000
3700281,512489,24,100000000
4,0,4,100
27,6,7,1000
384,49,11,10000
3786,497,14,100000
33449,5015,17,1000000
437295,51116,21,10000000
3703840,512185,24,100000000
5,0,4,100
26,5,7,1000
384,56,11,10000
3814,610,14,100000
33237,5033,17,1000000
432622,52115,21,10000000
3693020,511903,24,100000000
6,0,4,100
35,5,7,1000
454,48,11,10000
3978,499,14,100000
33079,5139,17,1000000
434382,51074,21,10000000
3602784,508619,24,100000000
5,0,4,100
26,5,7,1000
380,48,11,10000
3925,475,14,100000
32002,5313,17,1000000
426824,49579,21,10000000
3690195,498761,24,100000000
22,1,4,100
27,5,7,1000
389,48,11,10000
3814,551,14,100000
31644,4930,17,1000000
424932,50127,21,10000000
3670345,503124,24,100000000
6,0,4,100
25,4,7,1000
498,48,11,10000
4136,478,14,100000
31810,5342,17,1000000
419859,50021,21,10000000
3590105,504327,24,100000000
6,0,4,100
27,4,7,1000
437,46,11,10000
3964,585,14,100000
31469,4876,17,1000000
417998,50051,21,10000000
3577611,499906,24,100000000
5,0,4,100
26,4,7,1000
368,46,11,10000
3753,468,14,100000
30945,4900,17,1000000
432733,49715,21,10000000
3568585,501458,24,100000000
11,0,4,100
26,5,7,1000
428,48,11,10000
4029,626,14,100000
31674,4903,17,1000000
425919,50671,21,10000000
3600259,500512,24,100000000
4,0,4,100
25,4,7,1000
371,46,11,10000
3938,550,14,100000
33939,5040,17,1000000
432001,49485,21,10000000
3690744,513480,24,100000000
7,0,4,100
28,5,7,1000
394,49,11,10000
4106,566,14,100000
31737,5017,17,1000000
419397,49816,21,10000000
3739387,503473,24,100000000
6,0,4,100
27,5,7,1000
404,48,11,10000
3819,462,14,100000
31949,4854,17,1000000
431819,50249,21,10000000
3674278,497861,24,100000000
8,0,4,100
28,5,7,1000
446,60,11,10000
4006,511,14,100000
31130,5131,17,1000000
416682,49247,21,10000000
3664531,501282,24,100000000
5,0,4,100
26,5,7,1000
387,48,11,10000
3832,603,14,100000
32005,4972,17,1000000
433251,50202,21,10000000
3582553,499055,24,100000000
12,0,4,100
26,5,7,1000
387,48,11,10000
3834,468,14,100000
31544,4945,17,1000000
420478,49177,21,10000000
3745547,514153,24,100000000
5,0,4,100
27,5,7,1000
395,49,11,10000
3752,585,14,100000
33540,5154,17,1000000
440534,50751,21,10000000
3825573,516553,24,100000000
6,0,4,100
26,5,7,1000
389,49,11,10000
3851,607,14,100000
33977,4945,17,1000000
430256,51209,21,10000000
3702606,512207,24,100000000
5,0,4,100
28,5,7,1000
385,49,11,10000
3932,609,14,100000
32890,5194,17,1000000
434839,51306,21,10000000
3747490,516798,24,100000000
6,0,4,100
34,5,7,1000
390,49,11,10000
3956,627,14,100000
33307,5269,17,1000000
436722,51214,21,10000000
3879789,517171,24,100000000
4,0,4,100
33,5,7,1000
427,49,11,10000
4033,610,14,100000
33091,5010,17,1000000
432620,50994,21,10000000
3677447,512496,24,100000000
5,0,4,100
26,5,7,1000
408,49,11,10000
3801,491,14,100000
32795,5137,17,1000000
431352,51035,21,10000000
3700836,511181,24,100000000
6,0,4,100
27,5,7,1000
386,49,11,10000
3924,494,14,100000
32988,5081,17,1000000
433117,51072,21,10000000
3687271,511006,24,100000000
6,0,4,100
28,5,7,1000
458,49,11,10000
3771,621,14,100000
32664,5027,17,1000000
430674,51233,21,10000000
3689128,510490,24,100000000
5,0,4,100
27,5,7,1000
386,49,11,10000
3697,493,14,100000
33050,5073,17,1000000
434416,51027,21,10000000
3846666,514142,24,100000000
6,0,4,100
27,5,7,1000
407,60,11,10000
3747,600,14,100000
32967,4954,17,1000000
429675,51022,21,10000000
3705157,511134,24,100000000
5,0,4,100
28,5,7,1000
488,61,11,10000
3755,491,14,100000
33472,4981,17,1000000
436934,50881,21,10000000
3686596,510428,24,100000000
6,0,4,100
26,5,7,1000
428,49,11,10000
3893,530,14,100000
32984,4995,17,1000000
433625,51008,21,10000000
3683550,510199,24,100000000
4,0,4,100
27,5,7,1000
401,48,11,10000
3740,494,14,100000
33824,5071,17,1000000
433015,50980,21,10000000
3709606,510682,24,100000000
6,0,4,100
26,6,7,1000
401,48,11,10000
3802,491,14,100000
33668,4982,17,1000000
430854,51040,21,10000000
3706575,508888,24,100000000
5,0,4,100
26,5,7,1000
460,49,11,10000
3714,499,14,100000
34196,4929,17,1000000
431071,51062,21,10000000
3694938,510527,24,100000000
5,0,4,100
27,5,7,1000
482,49,11,10000
3906,607,14,100000
32771,5104,17,1000000
433113,50981,21,10000000
3679983,510336,24,100000000
5,0,4,100
26,5,7,1000
401,49,11,10000
3724,607,14,100000
33062,5021,17,1000000
427703,51139,21,10000000
3675784,509549,24,100000000
6,0,4,100
33,6,7,1000
409,49,11,10000
3753,607,14,100000
32953,5161,17,1000000
430770,51025,21,10000000
3685742,509941,24,100000000
5,0,4,100
29,5,7,1000
416,50,11,10000
5475,501,14,100000
33535,5080,17,1000000
433278,51345,21,10000000
3675482,510170,24,100000000
5,0,4,100
26,5,7,1000
389,49,11,10000
3807,555,14,100000
33435,5086,17,1000000
430467,51024,21,10000000
3687629,509985,24,100000000
5,0,4,100
27,5,7,1000
390,49,11,10000
3728,607,14,100000
33045,5034,17,1000000
429490,51024,21,10000000
3727310,510150,24,100000000
5,0,4,100
27,5,7,1000
387,49,11,10000
3805,604,14,100000
32932,5050,17,1000000
430197,51092,21,10000000
3735128,511991,24,100000000
4,0,4,100
25,4,7,1000
364,46,11,10000
3788,579,14,100000
31340,4897,17,1000000
415535,49538,21,10000000
3649102,494168,24,100000000
6,0,4,100
25,4,7,1000
373,45,11,10000
3893,582,14,100000
31219,4760,17,1000000
412924,47942,21,10000000
3477427,491853,24,100000000
5,0,4,100
26,5,7,1000
393,48,11,10000
3618,575,14,100000
31450,4826,17,1000000
408521,48568,21,10000000
3519488,491735,24,100000000
6,0,4,100
27,5,7,1000
371,46,11,10000
3760,470,14,100000
30628,4835,17,1000000
409772,50094,21,10000000
3457374,486172,24,100000000
5,0,4,100
24,4,7,1000
405,45,11,10000
3860,488,14,100000
31147,4673,17,1000000
421148,48753,21,10000000
3422083,476425,24,100000000
7,0,4,100
47,5,7,1000
391,48,11,10000
3839,565,14,100000
32225,4906,17,1000000
411298,48871,21,10000000
3436587,488777,24,100000000
5,0,4,100
26,5,7,1000
386,49,11,10000
3759,595,14,100000
32651,5053,17,1000000
429282,51046,21,10000000
3683910,510516,24,100000000
6,0,4,100
27,5,7,1000
414,49,11,10000
3894,639,14,100000
32811,4944,17,1000000
432107,50972,21,10000000
3678222,509927,24,100000000
4,0,4,100
26,5,7,1000
383,48,11,10000
3688,483,14,100000
33017,5042,17,1000000
430562,51875,21,10000000
3670478,510569,24,100000000
5,0,4,100
26,5,7,1000
381,49,11,10000
3777,610,14,100000
32722,4994,17,1000000
428038,51078,21,10000000
3811513,513483,24,100000000
4,0,4,100
26,5,7,1000
475,48,11,10000
3818,494,14,100000
32589,5208,17,1000000
432556,51048,21,10000000
3677762,510906,24,100000000
6,0,4,100
26,5,7,1000
390,58,11,10000
3663,617,14,100000
32201,4992,17,1000000
432814,51058,21,10000000
3671239,510512,24,100000000
5,0,4,100
27,5,7,1000
404,48,11,10000
3852,603,14,100000
32753,5101,17,1000000
437443,50334,21,10000000
3686914,510564,24,100000000
5,0,4,100
26,5,7,1000
460,48,11,10000
3833,610,14,100000
33133,5080,17,1000000
432754,52383,21,10000000
3678409,509869,24,100000000
5,0,4,100
27,5,7,1000
392,52,11,10000
3904,491,14,100000
33007,5103,17,1000000
431105,51097,21,10000000
3694690,509680,24,100000000
6,0,4,100
26,6,7,1000
387,60,11,10000
3745,572,14,100000
41915,5119,17,1000000
433764,50955,21,10000000
3702053,510541,24,100000000
5,0,4,100
26,5,7,1000
403,48,11,10000
3741,641,14,100000
33907,5093,17,1000000
432179,51097,21,10000000
3868907,513865,24,100000000
6,0,4,100
27,5,7,1000
386,49,11,10000
3870,488,14,100000
32715,4942,17,1000000
433821,51108,21,10000000
3672170,510310,24,100000000
5,0,4,100
26,5,7,1000
384,61,11,10000
3823,607,14,100000
32294,4953,17,1000000
438850,50996,21,10000000
3674221,508743,24,100000000
11,0,4,100
27,5,7,1000
384,49,11,10000
3734,608,14,100000
33762,5114,17,1000000
437706,50545,21,10000000
3677349,509869,24,100000000
5,0,4,100
27,5,7,1000
385,61,11,10000
3906,606,14,100000
33075,5627,17,1000000
433278,51056,21,10000000
3683280,511977,24,100000000
5,0,4,100
28,5,7,1000
386,48,11,10000
3714,587,14,100000
33129,5006,17,1000000
430328,51013,21,10000000
3842045,510276,24,100000000
5,0,4,100
33,6,7,1000
385,61,11,10000
3790,604,14,100000
33294,5025,17,1000000
432934,51046,21,10000000
3711122,510547,24,100000000
10,0,4,100
26,5,7,1000
440,49,11,10000
3717,615,14,100000
32955,5067,17,1000000
432060,51054,21,10000000
3682619,510137,24,100000000
6,0,4,100
26,5,7,1000
382,49,11,10000
3710,604,14,100000
32553,5127,17,1000000
431833,50754,21,10000000
3854776,510260,24,100000000
5,0,4,100
26,5,7,1000
390,49,11,10000
3882,491,14,100000
32845,5082,17,1000000
435200,51085,21,10000000
3686589,509743,24,100000000
5,0,4,100
53,5,7,1000
391,61,11,10000
3838,621,14,100000
33511,5166,17,1000000
431689,50937,21,10000000
3675741,509959,24,100000000
6,0,4,100
27,5,7,1000
385,49,11,10000
3810,607,14,100000
33503,5009,17,1000000
437209,51084,21,10000000
3687176,510122,24,100000000
5,0,4,100
26,5,7,1000
407,48,11,10000
3742,572,14,100000
32589,5009,17,1000000
435455,51005,21,10000000
3688001,510362,24,100000000
11,0,4,100
27,5,7,1000
386,49,11,10000
3898,579,14,100000
33188,5039,17,1000000
435968,51019,21,10000000
3672578,510326,24,100000000
5,0,4,100
26,5,7,1000
386,60,11,10000
3841,488,14,100000
32094,5088,17,1000000
433907,51026,21,10000000
3676478,514881,24,100000000
11,0,4,100
26,5,7,1000
435,49,11,10000
3752,492,14,100000
36615,5163,17,1000000
432936,51141,21,10000000
3695678,509973,24,100000000
5,0,4,100
26,5,7,1000
386,49,11,10000
3746,591,14,100000
32645,5076,17,1000000
433842,51040,21,10000000
3706760,510045,24,100000000
5,0,4,100
26,5,7,1000
419,48,11,10000
3720,578,14,100000
33099,4977,17,1000000
437152,51055,21,10000000
3677617,510299,24,100000000
5,0,4,100
26,5,7,1000
389,49,11,10000
3772,491,14,100000
33776,5091,17,1000000
434300,50968,21,10000000
3680041,509639,24,100000000
12,0,4,100
26,6,7,1000
414,48,11,10000
3882,488,14,100000
32358,5122,17,1000000
430525,50512,21,10000000
3682208,510296,24,100000000
5,0,4,100
27,5,7,1000
389,60,11,10000
3814,486,14,100000
32880,5006,17,1000000
432114,51059,21,10000000
3667467,510436,24,100000000
5,0,4,100
27,5,7,1000
402,49,11,10000
3659,604,14,100000
32733,5144,17,1000000
446692,51417,21,10000000
3659744,515521,24,100000000
5,0,4,100
26,5,7,1000
428,60,11,10000
3715,485,14,100000
32689,5020,17,1000000
432081,51055,21,10000000
3687477,509979,24,100000000
6,0,4,100
26,5,7,1000
386,49,11,10000
3712,607,14,100000
32027,4974,17,1000000
427354,51785,21,10000000
3675725,512564,24,100000000
4,0,4,100
26,5,7,1000
403,53,11,10000
3749,611,14,100000
33305,4920,17,1000000
436950,51122,21,10000000
3686129,510009,24,100000000
6,0,4,100
27,5,7,1000
385,48,11,10000
3913,609,14,100000
33453,5120,17,1000000
433844,51059,21,10000000
3685700,510390,24,100000000
5,0,4,100
26,5,7,1000
390,61,11,10000
3939,564,14,100000
32883,4947,17,1000000
433512,51009,21,10000000
3685367,509636,24,100000000
5,0,4,100
26,5,7,1000
399,48,11,10000
3678,608,14,100000
38148,5053,17,1000000
