time of insert, time of get, number of rehashed, number of keys
31306,5054,17,1000000
420871,50488,21,10000000
3619334,506388,24,100000000
5,0,4,100
27,4,7,1000
349,47,11,10000
3373,486,14,100000
31591,5118,17,1000000
438907,49851,21,10000000
3584074,500870,24,100000000
5,0,4,100
26,5,7,1000
367,47,11,10000
3390,551,14,100000
31671,4938,17,1000000
420728,50101,21,10000000
3606563,502583,24,100000000
5,0,4,100
25,4,7,1000
372,47,11,10000
3674,510,14,100000
31961,5365,17,1000000
434514,51002,21,10000000
3570822,508036,24,100000000
5,0,4,100
26,5,7,1000
384,48,11,10000
3515,603,14,100000
31000,5007,17,1000000
418655,49730,21,10000000
3598916,508714,24,100000000
5,0,4,100
28,5,7,1000
379,48,11,10000
3637,607,14,100000
31012,4995,17,1000000
426249,50850,21,10000000
3595402,506717,24,100000000
5,0,4,100
25,4,7,1000
365,46,11,10000
3886,565,14,100000
31219,5039,17,1000000
423598,50103,21,10000000
3711032,514204,24,100000000
5,0,4,100
25,4,7,1000
373,46,11,10000
3510,472,14,100000
30830,4925,17,1000000
422972,50169,21,10000000
3664887,503243,24,100000000
4,0,4,100
29,4,7,1000
376,45,11,10000
3369,460,14,100000
31406,5049,17,1000000
423311,49985,21,10000000
3629928,501132,24,100000000
6,0,4,100
26,5,7,1000
428,48,11,10000
3654,502,14,100000
31509,5058,17,1000000
434617,50292,21,10000000
3711995,512466,24,100000000
5,0,4,100
25,4,7,1000
367,46,11,10000
3524,545,14,100000
31800,5191,17,1000000
452076,50601,21,10000000
3726498,507144,24,100000000
4,0,4,100
25,4,7,1000
365,46,11,10000
3633,471,14,100000
31797,4967,17,1000000
430902,55346,21,10000000
3662898,508757,24,100000000
5,0,4,100
26,5,7,1000
386,48,11,10000
3436,552,14,100000
31547,4895,17,1000000
424726,50581,21,10000000
3673751,507909,24,100000000
5,0,4,100
25,4,7,1000
536,51,11,10000
3545,590,14,100000
31437,4913,17,1000000
423982,50124,21,10000000
3631755,503732,24,100000000
5,0,4,100
27,5,7,1000
388,61,11,10000
3344,583,14,100000
30772,5016,17,1000000
430013,50323,21,10000000
3629515,504519,24,100000000
4,0,4,100
27,5,7,1000
544,49,11,10000
3476,483,14,100000
31292,5011,17,1000000
434527,50178,21,10000000
3670680,513248,24,100000000
7,0,4,100
41,5,7,1000
466,46,11,10000
3524,473,14,100000
32455,5110,17,1000000
430096,50382,21,10000000
3664983,506671,24,100000000
5,0,4,100
36,8,7,1000
411,48,11,10000
3498,472,14,100000
31428,4858,17,1000000
426171,50282,21,10000000
3649168,507596,24,100000000
5,0,4,100
26,5,7,1000
492,82,11,10000
3706,577,14,100000
32593,5363,17,1000000
428141,49906,21,10000000
3622603,511912,24,100000000
5,0,4,100
28,5,7,1000
458,48,11,10000
3567,544,14,100000
31783,5026,17,1000000
422883,50768,21,10000000
3725442,512323,24,100000000
5,0,4,100
26,4,7,1000
433,61,11,10000
3414,614,14,100000
32333,5034,17,1000000
429665,50174,21,10000000
3618965,507209,24,100000000
4,0,4,100
25,4,7,1000
374,46,11,10000
3617,622,14,100000
31263,5000,17,1000000
425625,49434,21,10000000
3671058,503732,24,100000000
4,0,4,100
26,4,7,1000
367,46,11,10000
3445,469,14,100000
32060,4820,17,1000000
421336,50351,21,10000000
3659586,505928,24,100000000
5,0,4,100
25,6,7,1000
414,46,11,10000
3485,577,14,100000
31490,4879,17,1000000
418297,50214,21,10000000
3682549,515178,24,100000000
5,0,4,100
30,4,7,1000
371,46,11,10000
3637,577,14,100000
32500,5337,17,1000000
418869,50063,21,10000000
3610931,506188,24,100000000
5,0,4,100
30,4,7,1000
367,46,11,10000
3345,577,14,100000
31318,5075,17,1000000
421272,49796,21,10000000
3650958,508274,24,100000000
5,0,4,100
34,5,7,1000
414,48,11,10000
3687,621,14,100000
32275,5036,17,1000000
424228,49561,21,10000000
3626654,498683,24,100000000
5,0,4,100
33,5,7,1000
396,47,11,10000
3468,462,14,100000
32560,5099,17,1000000
418448,50280,21,10000000
3577171,506874,24,100000000
5,0,4,100
31,4,7,1000
388,46,11,10000
3518,586,14,100000
32550,5060,17,1000000
427266,50054,21,10000000
3820610,510126,24,100000000
5,0,4,100
32,4,7,1000
394,46,11,10000
3563,574,14,100000
31733,5074,17,1000000
422416,50632,21,10000000
3587868,502125,24,100000000
6,0,4,100
34,5,7,1000
489,48,11,10000
3940,592,14,100000
31004,4970,17,1000000
432806,53013,21,10000000
3599479,500644,24,100000000
4,0,4,100
30,4,7,1000
399,46,11,10000
3716,577,14,100000
31451,4811,17,1000000
438566,49835,21,10000000
3652779,505876,24,100000000
6,0,4,100
29,4,7,1000
420,46,11,10000
3643,465,14,100000
32176,4988,17,1000000
435981,50008,21,10000000
3707741,511607,24,100000000
5,0,4,100
27,5,7,1000
402,48,11,10000
3519,540,14,100000
33241,5257,17,1000000
439565,50270,21,10000000
3655166,509714,24,100000000
5,0,4,100
31,4,7,1000
395,46,11,10000
3362,599,14,100000
32074,5003,17,1000000
426925,50568,21,10000000
3642107,505346,24,100000000
4,0,4,100
