699169,314398,21,10000000
9,2,4,100
59,13,7,1000
677,100,11,10000
5458,1318,14,100000
54690,15109,17,1000000
745048,294086,21,10000000
8,3,4,100
54,13,7,1000
686,102,11,10000
5415,1373,14,100000
53480,13773,17,1000000
706262,290425,21,10000000
12,3,4,100
62,13,7,1000
723,104,11,10000
5631,1324,14,100000
53996,15318,17,1000000
727315,292347,21,10000000
10,2,4,100
57,13,7,1000
674,136,11,10000
5542,1354,14,100000
54709,13785,17,1000000
700589,292185,21,10000000
8,2,4,100
55,13,7,1000
664,100,11,10000
5505,1318,14,100000
61769,14109,17,1000000
725919,287065,21,10000000
8,2,4,100
49,21,7,1000
607,102,11,10000
5479,2448,14,100000
56638,16374,17,1000000
720188,312965,21,10000000
10,1,4,100
60,13,7,1000
811,149,11,10000
5476,1324,14,100000
54700,14627,17,1000000
725574,303700,21,10000000
10,2,4,100
49,13,7,1000
581,103,11,10000
5518,1392,14,100000
57072,16169,17,1000000
721223,295146,21,10000000
9,3,4,100
49,16,7,1000
683,100,11,10000
5394,1428,14,100000
54718,13661,17,1000000
742433,295001,21,10000000
8,2,4,100
47,13,7,1000
581,100,11,10000
5401,1348,14,100000
53627,15876,17,1000000
725416,323432,21,10000000
8,2,4,100
50,13,7,1000
587,122,11,10000
5390,1264,14,100000
54074,13947,17,1000000
716517,292640,21,10000000
9,2,4,100
48,13,7,1000
591,101,11,10000
5427,1383,14,100000
54435,14540,17,1000000
717021,289096,21,10000000
9,1,4,100
48,13,7,1000
588,99,11,10000
5514,1984,14,100000
53829,13530,17,1000000
791173,297550,21,10000000
8,2,4,100
54,12,7,1000
683,104,11,10000
5389,1281,14,100000
55407,13698,17,1000000
697832,293095,21,10000000
9,2,4,100
47,13,7,1000
629,101,11,10000
5454,2405,14,100000
54940,14209,17,1000000
706903,294826,21,10000000
9,4,4,100
47,13,7,1000
620,104,11,10000
5784,1246,14,100000
52567,13463,17,1000000
685672,289628,21,10000000
13,3,4,100
51,14,7,1000
607,105,11,10000
5436,1269,14,100000
53899,14035,17,1000000
710761,297552,21,10000000
8,3,4,100
48,13,7,1000
613,102,11,10000
5451,1235,14,100000
53720,13798,17,1000000
699538,289102,21,10000000
9,2,4,100
48,13,7,1000
610,130,11,10000
5346,1326,14,100000
56881,14511,17,1000000
704627,288049,21,10000000
9,2,4,100
48,12,7,1000
608,143,11,10000
5446,1350,14,100000
54664,14452,17,1000000
697267,289492,21,10000000
10,2,4,100
59,13,7,1000
600,103,11,10000
5381,1229,14,100000
53024,13737,17,1000000
695660,303930,21,10000000
9,2,4,100
48,13,7,1000
594,102,11,10000
5739,1512,14,100000
53804,13930,17,1000000
718318,292281,21,10000000
8,2,4,100
47,12,7,1000
589,101,11,10000
5455,1376,14,100000
53407,14088,17,1000000
700598,277761,21,10000000
9,1,4,100
48,13,7,1000
586,100,11,10000
5593,1433,14,100000
53900,13644,17,1000000
703018,337432,21,10000000
9,2,4,100
47,13,7,1000
599,98,11,10000
5418,1434,14,100000
67737,17516,17,1000000
703276,281022,21,10000000
9,3,4,100
59,13,7,1000
579,98,11,10000
5538,1467,14,100000
54549,14321,17,1000000
707681,297327,21,10000000
8,2,4,100
53,12,7,1000
672,99,11,10000
5511,1377,14,100000
52321,13540,17,1000000
690428,292836,21,10000000
9,2,4,100
49,13,7,1000
610,128,11,10000
5682,1455,14,100000
52787,14131,17,1000000
701348,298100,21,10000000
9,2,4,100
46,12,7,1000
611,140,11,10000
5428,1450,14,100000
53209,13977,17,1000000
701018,335028,21,10000000
8,2,4,100
48,13,7,1000
598,102,11,10000
5432,1266,14,100000
52597,13505,17,1000000
697686,287848,21,10000000
8,3,4,100
51,20,7,1000
584,122,11,10000
5431,1301,14,100000
53294,14172,17,1000000
704369,294604,21,10000000
9,2,4,100
48,12,7,1000
577,100,11,10000
5467,1402,14,100000
54031,13864,17,1000000
713762,289856,21,10000000
