16,1,4,100
167,12,7,1000
100283,458,19,10000
121431,5767,19,100000
211881,81550,19,1000000
1016892,452660,20,10000000
12,1,3,100
145,13,7,1000
94992,268,19,10000
105529,2008,19,100000
185420,48186,19,1000000
1044572,385574,20,10000000
11,1,3,100
177,13,7,1000
102157,373,19,10000
106310,2133,19,100000
176561,44571,19,1000000
1018700,381053,20,10000000
11,1,3,100
136,11,7,1000
99407,349,19,10000
105926,1948,19,100000
177013,42813,19,1000000
1015782,379552,20,10000000
12,1,3,100
145,16,7,1000
98651,372,19,10000
106040,3566,19,100000
177807,43046,19,1000000
1019690,377906,20,10000000
11,1,3,100
139,12,7,1000
95895,486,19,10000
105710,3890,19,100000
193009,44156,19,1000000
1000732,385435,20,10000000
10,2,3,100
148,17,7,1000
98113,465,19,10000
106840,4358,19,100000
176335,41566,19,1000000
1000061,377894,20,10000000
9,2,3,100
180,13,7,1000
112132,364,19,10000
118166,6402,19,100000
281476,80840,19,1000000
997733,371531,20,10000000
10,1,3,100
152,12,7,1000
98485,424,19,10000
113442,3413,19,100000
190163,40941,19,1000000
975012,384746,20,10000000
10,3,3,100
147,12,7,1000
98276,417,19,10000
107818,2491,19,100000
196350,47046,19,1000000
996738,379610,20,10000000
9,1,3,100
135,12,7,1000
98293,419,19,10000
108066,2081,19,100000
178463,40260,19,1000000
1006649,374436,20,10000000
13,1,3,100
163,12,7,1000
98578,415,19,10000
108870,2308,19,100000
187423,41555,19,1000000
991458,372713,20,10000000
14,1,3,100
146,12,7,1000
98936,292,19,10000
107057,1657,19,100000
181376,40963,19,1000000
991307,391870,20,10000000
16,1,4,100
150,13,7,1000
96737,377,19,10000
109982,1893,19,100000
182885,43979,19,1000000
1078747,375946,20,10000000
10,1,3,100
141,12,7,1000
98662,433,19,10000
109096,1850,19,100000
195578,42486,19,1000000
1011074,370314,20,10000000
12,3,3,100
151,12,7,1000
98414,494,19,10000
108338,2134,19,100000
188365,39495,19,1000000
1011709,368119,20,10000000
10,2,3,100
141,12,7,1000
96651,268,19,10000
107263,1565,19,100000
186345,43255,19,1000000
974567,374936,20,10000000
13,1,3,100
146,16,7,1000
98914,396,19,10000
107892,1933,19,100000
188087,41583,19,1000000
1047716,374042,20,10000000
12,1,3,100
140,12,7,1000
97269,322,19,10000
107914,1597,19,100000
199540,42964,19,1000000
986226,364018,20,10000000
13,1,3,100
157,11,7,1000
98570,426,19,10000
106830,4542,19,100000
186716,43636,19,1000000
1005857,370945,20,10000000
16,1,4,100
143,12,7,1000
97580,426,19,10000
108041,1793,19,100000
185319,40984,19,1000000
1012483,367296,20,10000000
12,1,3,100
140,12,7,1000
100521,511,19,10000
109236,1756,19,100000
180347,39848,19,1000000
995388,361138,20,10000000
11,1,3,100
145,23,7,1000
97300,354,19,10000
106407,2053,19,100000
187312,38587,19,1000000
977783,393538,20,10000000
11,1,3,100
147,12,7,1000
98942,419,19,10000
106062,1807,19,100000
186083,45110,19,1000000
985000,358573,20,10000000
11,1,3,100
138,14,7,1000
96835,287,19,10000
110648,3459,19,100000
177752,42160,19,1000000
984396,376214,20,10000000
10,1,3,100
141,12,7,1000
98749,496,19,10000
106317,2033,19,100000
183600,43207,19,1000000
1022496,371322,20,10000000
