time of insert, time of get, number of rehashed, number of keys
18680254,3323911,undefined,100000000
20,3,undefined,100
177,49,undefined,1000
1664,289,undefined,10000
19158,3057,undefined,100000
174302,32022,undefined,1000000
1735156,325179,undefined,10000000
18748735,3323228,undefined,100000000
20,3,undefined,100
153,26,undefined,1000
1513,329,undefined,10000
17681,2936,undefined,100000
172075,34024,undefined,1000000
1728591,326856,undefined,10000000
18638252,3327851,undefined,100000000
20,3,undefined,100
166,27,undefined,1000
1558,263,undefined,10000
18278,2822,undefined,100000
180090,33514,undefined,1000000
1760383,329515,undefined,10000000
18777337,3279450,undefined,100000000
21,3,undefined,100
157,27,undefined,1000
1509,326,undefined,10000
18155,2843,undefined,100000
176320,32114,undefined,1000000
1729890,329077,undefined,10000000
18701363,3339245,undefined,100000000
20,3,undefined,100
159,27,undefined,1000
1504,330,undefined,10000
18286,2965,undefined,100000
172476,35111,undefined,1000000
1819327,330652,undefined,10000000
18784312,3344332,undefined,100000000
20,3,undefined,100
160,26,undefined,1000
1517,315,undefined,10000
16898,2837,undefined,100000
184973,33529,undefined,1000000
1739694,328720,undefined,10000000
18837001,3347764,undefined,100000000
22,3,undefined,100
159,33,undefined,1000
1546,267,undefined,10000
18796,3019,undefined,100000
179328,34098,undefined,1000000
1761186,330762,undefined,10000000
18599741,3289140,undefined,100000000
21,3,undefined,100
158,27,undefined,1000
1535,264,undefined,10000
17812,2863,undefined,100000
172294,32061,undefined,1000000
1748046,328167,undefined,10000000
18712653,3321508,undefined,100000000
21,3,undefined,100
163,28,undefined,1000
1608,346,undefined,10000
18407,2875,undefined,100000
172532,32738,undefined,1000000
1736027,322630,undefined,10000000
18943342,3271881,undefined,100000000
20,4,undefined,100
158,27,undefined,1000
1599,332,undefined,10000
17524,2843,undefined,100000
173802,33055,undefined,1000000
1762409,328413,undefined,10000000
18919593,3337489,undefined,100000000
21,3,undefined,100
154,27,undefined,1000
1519,327,undefined,10000
18544,3092,undefined,100000
176632,32802,undefined,1000000
1738315,332235,undefined,10000000
18925713,3287185,undefined,100000000
21,3,undefined,100
156,26,undefined,1000
1499,329,undefined,10000
17523,3085,undefined,100000
177192,32432,undefined,1000000
1825437,323280,undefined,10000000
18884284,3350929,undefined,100000000
20,3,undefined,100
167,28,undefined,1000
1567,376,undefined,10000
18242,2924,undefined,100000
181375,32057,undefined,1000000
1734239,325365,undefined,10000000
18812505,3284006,undefined,100000000
22,3,undefined,100
170,28,undefined,1000
1605,279,undefined,10000
18800,2977,undefined,100000
178068,32825,undefined,1000000
1746002,332280,undefined,10000000
19113591,3348499,undefined,100000000
21,3,undefined,100
157,26,undefined,1000
1499,263,undefined,10000
18880,2934,undefined,100000
172994,32810,undefined,1000000
1736485,331016,undefined,10000000
18890819,3346371,undefined,100000000
20,3,undefined,100
158,27,undefined,1000
1537,282,undefined,10000
18900,2879,undefined,100000
175725,34206,undefined,1000000
1740349,326365,undefined,10000000
19008070,3281879,undefined,100000000
19,3,undefined,100
159,27,undefined,1000
1508,326,undefined,10000
17911,2884,undefined,100000
172210,32664,undefined,1000000
1742870,327232,undefined,10000000
18752408,3321853,undefined,100000000
22,3,undefined,100
166,35,undefined,1000
1602,377,undefined,10000
19207,2924,undefined,100000
173601,32494,undefined,1000000
1739163,324786,undefined,10000000
19337246,3279798,undefined,100000000
20,3,undefined,100
156,27,undefined,1000
1496,294,undefined,10000
17196,2927,undefined,100000
176550,32999,undefined,1000000
1830097,326239,undefined,10000000
19057090,3348537,undefined,100000000
21,3,undefined,100
157,26,undefined,1000
1625,265,undefined,10000
17933,3026,undefined,100000
188118,33576,undefined,1000000
1749156,324152,undefined,10000000
19100261,3333414,undefined,100000000
21,3,undefined,100
172,28,undefined,1000
1625,347,undefined,10000
18795,2928,undefined,100000
173619,32890,undefined,1000000
1744523,329947,undefined,10000000
19127134,3341006,undefined,100000000
20,3,undefined,100
157,27,undefined,1000
1556,266,undefined,10000
18117,2800,undefined,100000
174968,34202,undefined,1000000
1737721,330166,undefined,10000000
19218644,3335559,undefined,100000000
29,5,undefined,100
211,29,undefined,1000
1612,345,undefined,10000
18411,2906,undefined,100000
173661,32564,undefined,1000000
1742883,324839,undefined,10000000
19201321,3285409,undefined,100000000
21,3,undefined,100
165,28,undefined,1000
1620,278,undefined,10000
18111,2721,undefined,100000
175708,32397,undefined,1000000
1750254,330616,undefined,10000000
19282690,3343825,undefined,100000000
26,5,undefined,100
177,28,undefined,1000
1532,331,undefined,10000
18983,3135,undefined,100000
174853,33150,undefined,1000000
1767811,331676,undefined,10000000
19322656,3343951,undefined,100000000
21,3,undefined,100
212,45,undefined,1000
1541,328,undefined,10000
17524,2928,undefined,100000
174501,33343,undefined,1000000
1847903,330764,undefined,10000000
19328218,3292410,undefined,100000000
23,3,undefined,100
164,28,undefined,1000
2076,294,undefined,10000
19043,2809,undefined,100000
183428,33373,undefined,1000000
1762617,325760,undefined,10000000
19313494,3339186,undefined,100000000
20,3,undefined,100
165,28,undefined,1000
1614,346,undefined,10000
18843,3124,undefined,100000
173334,33148,undefined,1000000
1745816,324408,undefined,10000000
19478070,3354040,undefined,100000000
21,3,undefined,100
165,38,undefined,1000
1634,396,undefined,10000
19096,3132,undefined,100000
175944,33034,undefined,1000000
1759380,333810,undefined,10000000
19334122,3356874,undefined,100000000
19,3,undefined,100
157,27,undefined,1000
1509,329,undefined,10000
19443,3017,undefined,100000
180206,32582,undefined,1000000
1760213,339896,undefined,10000000
19356054,3298216,undefined,100000000
20,3,undefined,100
158,27,undefined,1000
1530,266,undefined,10000
18095,2844,undefined,100000
172953,33904,undefined,1000000
1747491,325259,undefined,10000000
19136555,3279644,undefined,100000000
20,3,undefined,100
267,58,undefined,1000
1543,265,undefined,10000
18026,3009,undefined,100000
176003,33322,undefined,1000000
1739594,331646,undefined,10000000
19450025,3341846,undefined,100000000
20,3,undefined,100
162,26,undefined,1000
1532,335,undefined,10000
18839,2906,undefined,100000
177913,32830,undefined,1000000
1838339,333640,undefined,10000000
19482547,3352923,undefined,100000000
20,3,undefined,100
161,27,undefined,1000
1539,266,undefined,10000
18083,3042,undefined,100000
183994,33595,undefined,1000000
1745268,332633,undefined,10000000
19348938,3297758,undefined,100000000
21,3,undefined,100
213,28,undefined,1000
1657,279,undefined,10000
18841,3139,undefined,100000
176367,32910,undefined,1000000
1745694,326190,undefined,10000000
19443917,3339621,undefined,100000000
21,3,undefined,100
167,27,undefined,1000
1576,266,undefined,10000
18396,2834,undefined,100000
175859,33643,undefined,1000000
1740354,328665,undefined,10000000
19558603,3410865,undefined,100000000
20,3,undefined,100
164,33,undefined,1000
1765,328,undefined,10000
18236,3010,undefined,100000
173770,33198,undefined,1000000
1762875,332374,undefined,10000000
19702615,3294737,undefined,100000000
20,3,undefined,100
167,27,undefined,1000
1508,328,undefined,10000
18603,2866,undefined,100000
174958,33315,undefined,1000000
1782189,327723,undefined,10000000
19706414,3350272,undefined,100000000
23,3,undefined,100
215,28,undefined,1000
1670,314,undefined,10000
18289,2902,undefined,100000
173596,32843,undefined,1000000
1771457,328710,undefined,10000000
19630999,3329011,undefined,100000000
20,3,undefined,100
158,26,undefined,1000
1567,356,undefined,10000
17439,2890,undefined,100000
173091,32761,undefined,1000000
1847357,330300,undefined,10000000
19829649,3355916,undefined,100000000
22,3,undefined,100
203,28,undefined,1000
1522,265,undefined,10000
17286,3072,undefined,100000
183535,32278,undefined,1000000
1902453,329811,undefined,10000000
20011108,3357627,undefined,100000000
22,3,undefined,100
168,28,undefined,1000
1606,356,undefined,10000
19326,2974,undefined,100000
175598,32533,undefined,1000000
1782414,333052,undefined,10000000
20044260,3291412,undefined,100000000
20,3,undefined,100
188,27,undefined,1000
1555,330,undefined,10000
18259,2896,undefined,100000
